tcp.analysis.ack_rtt,ip.dsfield.ecn,throughput
0.000320962,1,4032736.049
2.04e-05,1,244648.1301
0.000135318,1,5418728.149
0.000185427,0,236399.7131
0.000157035,0,128464.0937
2.72e-05,1,399396.5658
2.07e-05,1,1174706.327
2.17e-05,1,124975.919
0.000149248,1,4882921.075
7.77e-05,0,1998729.704
1.02e-05,0,467509.5022
2.11e-05,1,477773.9496
2.06e-05,1,521571.4819
2.02e-05,1,1137932.911
2e-05,1,1391411.853
9.99e-05,0,181986.4009
3.16e-05,1,126736.9956
0.0001612,1,4811113.412
6.06e-05,1,2248492.866
5.73e-05,1,209429.9189
0.000172495,0,4585077.665
4.66e-05,1,133492.0788
0.000164674,0,4464904.258
0.000282036,1,5319605.073
4.32e-05,1,747357.4232
4.22e-05,1,1032444.062
5.79e-05,0,819915.7764
1.27e-05,0,80320.34354
1.2e-05,0,328867.3169
2.04e-05,1,1193998.949
1.97e-05,1,1070448.137
1.93e-05,1,1275460.865
1.95e-05,1,1266204.981
0.000164177,0,75580.78264
4.34e-05,1,133254.1976
0.000174397,1,4749992.189
0.00026198,1,7131459.662
0.000428027,1,3760410.483
1.36e-05,0,240742.7451
1.21e-05,0,467115.0626
2.04e-05,1,1036943.62
2.01e-05,1,1584289.162
2.05e-05,1,603469.1483
5.76e-05,1,194244.1514
0.000187537,0,4063472.499
1.51e-05,0,103908.0614
0.000174159,1,3923906.591
1.52e-05,1,3471148.138
4.36e-05,1,387338.4188
0.000152815,1,5702060.34
1.33e-05,0,80803.9009
0.00019485,0,2910108.426
4.59e-05,1,330752.647
0.000161922,1,5363208.393
0.00024197,1,7812673.719
2.48e-05,1,277809.7544
0.00016747,0,115487.7196
4e-05,1,185791.5593
0.000156707,1,5330439.299
0.000248352,1,6815744.0
4.52e-05,1,1181600.766
5.55e-05,0,128107.3935
2.45e-05,1,381244.821
2.08e-05,1,287388.3492
0.000133954,1,5521615.392
2.17e-05,1,1354682.037
1.31e-05,0,277970.6931
1.06e-05,0,210292.7084
4.9e-05,1,373305.6192
5.26e-05,1,878860.2069
4.91e-05,1,974040.0804
4.32e-05,1,1056619.175
1.09e-05,0,254726.5369
5.54e-05,0,170892.238
1.91e-05,1,197513.0704
0.000131939,1,5533288.998
2.01e-05,1,1395864.371
2e-05,1,1102462.382
1.34e-05,0,194912.2084
1.24e-05,0,175177.3859
5.32e-05,1,153928.4653
4.51e-05,1,1167370.962
4.28e-05,1,937744.7854
4.43e-05,1,1370285.705
1.29e-05,0,287534.7328
4.99e-05,0,233115.0013
5.15e-05,1,164162.6856
0.000149327,1,6383526.088
4.19e-05,1,1321841.261
4.04e-05,1,1201673.873
1.21e-05,0,105166.3269
1.15e-05,0,1217478.016
4.47e-05,1,156197.523
0.000163232,1,5255513.446
4.19e-05,1,1086896.053
2.08e-05,1,633715.6649
5.52e-05,0,144640.6186
3.99e-05,1,389181.5161
3.93e-05,1,1053641.585
3.91e-05,1,1145904.42
0.000128873,1,6979321.856
1.31e-05,0,107635.116
1.22e-05,0,977313.5534
4.23e-05,1,170816.1921
0.000162143,1,5203271.761
4.06e-05,1,1565338.335
4.14e-05,1,528416.252
1.25e-05,0,534796.5496
0.000157859,0,162288.7668
3.67e-05,1,169379.0898
4.61e-05,1,1344936.123
4.31e-05,1,1193998.949
4.23e-05,1,268078.0186
1.21e-05,0,654430.4113
1.24e-05,0,122400.5147
0.000167577,1,4020346.691
4.07e-05,1,306612.6635
0.000154853,1,5463978.489
4.19e-05,1,572576.175
1.06e-05,0,214156.5141
7.16e-05,1,164100.9277
0.000191185,0,4420344.335
0.000270155,1,7859596.685
1.18e-05,0,126237.9588
0.000165089,1,4064046.112
1.44e-05,0,992200.9462
4.95e-05,1,145750.7209
0.000191765,1,4383996.141
4.35e-05,1,1375326.167
4.26e-05,1,1175761.768
1.51e-05,0,203173.625
1.12e-05,0,133425.2628
0.000157724,1,4255684.059
0.000245867,1,7073637.016
4.38e-05,1,2781345.054
4.36e-05,1,429408.6458
1.18e-05,0,388866.1127
1.2e-05,0,86581.92634
0.000165098,1,4076706.692
1.71e-05,1,3929798.342
4.03e-05,1,1653345.354
4.96e-05,1,89228.34092
1.3e-05,0,924287.3589
1.14e-05,0,301510.2127
5.33e-05,1,185396.7342
0.000159441,1,5881451.002
0.000245704,1,7229960.486
4.03e-05,1,365588.1682
1.19e-05,0,344737.3151
4.57e-05,0,354278.1174
5.55e-05,1,145710.149
0.000196387,1,4421023.135
0.000293319,1,6430579.106
0.000389622,1,6462335.052
1.17e-05,0,230302.8819
1.21e-05,0,1084521.309
4.51e-05,1,1228177.239
4.41e-05,1,136585.2049
0.000153203,1,5702060.34
0.000222995,1,8932579.167
1.07e-05,0,1259722.703
1.54e-05,0,231967.3732
5.43e-05,1,220418.1991
0.000167636,1,5498415.328
4.52e-05,1,211443.3427
0.000173464,1,4855743.406
0.000302391,0,4101097.244
4.65e-05,0,163065.4968
4.14e-05,1,1024362.308
4e-05,1,233224.5318
4.99e-05,1,110628.3581
0.000185903,1,4583617.681
0.000323355,0,3844778.667
5.27e-05,1,168843.6679
0.000165011,1,5556784.917
0.000299333,0,3940556.071
4.22e-05,1,469124.5198
4.37e-05,1,1129096.504
1.12e-05,0,194177.3356
6.21e-05,1,161389.0175
0.000246054,0,2872363.829
4.56e-05,1,1482019.08
0.000148095,1,6072495.814
3.79e-05,1,323636.1687
1.26e-05,0,441417.6823
4.84e-05,1,132197.4793
0.00020972,0,3276024.426
3.98e-05,1,1047736.468
4.16e-05,1,989506.8794
4.06e-05,1,1038177.587
6.56e-05,0,91910.87412
4.66e-05,1,128434.8658
0.000149472,1,6044447.335
0.000245064,1,6526797.247
4.21e-05,1,431319.3303
1.25e-05,0,964964.0575
1.25e-05,0,122083.3799
0.000155252,1,4369358.424
0.000235399,1,7812673.719
0.00031298,1,8003809.468
5.18e-05,1,330418.5956
6.86e-05,0,112856.9797
4.35e-05,1,415897.9336
4.27e-05,1,1038177.587
4.46e-05,1,415633.7456
4.23e-05,1,445944.0613
1.38e-05,0,268078.0186
6.99e-05,0,126461.4271
4.16e-05,1,3744271.382
4.05e-05,1,1021962.396
5e-05,1,491224.7928
4.32e-05,1,741429.3756
1.9e-05,0,942379.7923
1.28e-05,0,118262.9773
0.000166189,1,4064046.112
0.000250296,1,7414293.756
1.81e-05,1,3877401.031
4.59e-05,1,127273.1811
1.26e-05,0,130369.8424
0.000183188,0,3093006.302
6.07e-05,1,2289803.759
7.72e-05,1,285912.7918
4.94e-05,1,965417.0771
6.58e-05,1,2857255.127
1.12e-05,0,1036794.247
0.000149269,0,116263.7816
3.99e-05,1,258238.3519
0.00015006,1,5640615.724
4.18e-05,1,489387.7517
4.37e-05,1,675069.821
1.24e-05,0,135814.5782
0.000156476,1,4333188.238
0.000312571,0,3381057.27
4.5e-05,1,1443599.391
5.58e-05,1,413793.7859
6.97e-05,1,182985.7859
0.000196358,0,4170607.367
7.27e-05,1,86945.90712
0.000231396,0,3325213.982
0.000397748,1,3749635.668
4.65e-05,1,2872937.098
0.000148152,1,6143769.239
3.06e-05,0,263109.4822
2.11e-05,0,633102.4906
6.64e-05,1,573454.3593
9.16e-05,1,112530.987
0.0002538,1,3843238.907
7.13e-05,1,113379.2105
0.000215618,0,3654443.089
3.47e-05,1,3691460.784
4.79e-05,1,176984.4263
0.000164592,1,5341317.747
0.000269831,1,5921370.353
1.05e-05,0,236324.0329
0.000181669,0,31284.41583
5.13e-05,1,450162.6584
3.66e-05,1,1124729.564
5.92e-05,1,110872.0535
0.000212575,1,4057745.265
5.59e-05,0,770829.2767
6.78e-05,1,125732.4028
0.000179848,1,5568607.864
5.88e-05,1,725803.0216
2.62e-05,1,1795093.07
5.67e-06,0,88125.44815
9.78e-05,1,125944.1652
0.000272373,0,3029538.32
4.01e-05,1,1114195.699
0.000154569,1,5441259.243
5.24e-05,1,756429.3919
3.39e-05,0,108846.5798
0.000263552,1,2714985.162
0.00043287,0,3119144.383
